Frequenz;Kanal B;Invertieren A
(ms);(V);(mV)

6,96319996;-0,29438150;-27,02414000
7,00415996;-0,25757620;-28,84762000
7,04511996;-0,23920410;-25,65539000
7,08607996;-0,20239870;-27,47886000
7,12703996;-0,18402660;-28,39137000
7,16799996;-0,14722130;-26,56789000
7,20895996;-0,12884910;-29,30235000
7,24991996;-0,11041600;-27,47886000
7,29087996;-0,07367168;-27,93512000
7,33183996;-0,03686636;-28,39137000
7,37279996;-0,00006104;-26,11164000
7,41375995;0,03674429;-29,30235000
7,45471995;0,05511643;-27,02414000
7,49567995;0,09192175;-26,11164000
7,53663995;0,11029390;-27,93512000
7,57759995;0,14709920;-27,93512000
7,61855995;0,18384350;-28,84762000
7,65951995;0,18384350;-27,02414000
7,70047995;0,23902100;-27,93512000
7,74143995;0,27582630;-27,47886000
7,78239995;0,27582630;-27,47886000
7,82335995;0,33100380;-27,47886000
7,86431995;0,36780910;-27,02414000
7,90527995;0,38618120;-27,47886000
7,94623995;0,40461440;-26,56789000
7,98719995;0,44135870;-27,47886000
8,02815995;0,45979190;-29,30235000
8,06911995;0,47816400;-26,56789000
8,11007995;0,49659720;-27,47886000
8,15103995;0,51496930;-27,47886000
8,19199995;0,53334150;-27,93512000
8,23295995;0,55177460;-26,56789000
8,27391995;0,55177460;-25,65539000
8,31487995;0,55177460;-24,74441000
8,35583995;0,57014680;-20,18494000
8,39679995;0,57014680;-22,00842000
8,43775995;0,58851890;-19,72869000
8,47871995;0,58851890;-18,81771000
8,51967995;0,58851890;-16,08173000
8,56063995;0,58851890;-12,89102000
8,60159995;0,58851890;-15,62548000
8,64255995;0,60695210;-9,24405700
8,68351995;0,60695210;-8,33155300
8,72447995;0,60695210;-5,14084300
8,76543995;0,62532420;-3,31888800
8,80639995;0,60695210;-1,03915500
8,84735995;0,62532420;2,15155500
8,88831995;0,62532420;4,43128700
8,92927995;0,62532420;7,16727200
8,97023995;0,62532420;9,90173100
9,01119995;0,62532420;12,18146000
9,05215994;0,64375750;14,46119000
9,09311994;0,64375750;19,02066000
9,13407994;0,66212960;21,30039000
9,17503994;0,64375750;21,30039000
9,21599994;0,64375750;26,31458000
9,25695994;0,66212960;27,22709000
9,29791994;0,66212960;31,32878000
9,33887994;0,66212960;32,69753000
9,37983994;0,66212960;36,80074000
9,42079994;0,66212960;38,16797000
9,46175994;0,66212960;41,35868000
9,50271994;0,68050170;42,72744000
9,54367994;0,68050170;45,00565000
9,58463994;0,66212960;∞
9,62559994;0,68050170;∞
9,66655994;0,68050170;∞
9,70751994;0,68050170;∞
9,74847994;0,68050170;∞
9,78943994;0,68050170;∞
9,83039994;0,68050170;∞
9,87135994;0,68050170;∞
9,91231994;0,68050170;∞
9,95327994;0,68050170;∞
9,99423994;0,68050170;∞
10,03519994;0,68050170;∞
10,07615994;0,68050170;∞
10,11711994;0,69893490;∞
10,15807994;0,68050170;∞
10,19903994;0,69893490;∞
10,23999994;0,69893490;∞
10,28095994;0,68050170;∞
10,32191994;0,69893490;∞
10,36287994;0,69893490;∞
10,40383994;0,68050170;∞
10,44479994;0,69893490;∞
10,48575994;0,69893490;∞
10,52671994;0,69893490;∞
10,56767994;0,69893490;∞
10,60863994;0,68050170;∞
10,64959994;0,68050170;∞
10,69055994;0,68050170;∞
10,73151993;0,68050170;∞
10,77247993;0,69893490;∞
10,81343993;0,68050170;∞
10,85439993;0,69893490;∞
10,89535993;0,68050170;∞
10,93631993;0,68050170;∞
10,97727993;0,68050170;∞
11,01823993;0,68050170;∞
11,05919993;0,68050170;∞
11,10015993;0,68050170;∞
11,14111993;0,68050170;∞
11,18207993;0,68050170;∞
11,22303993;0,68050170;∞
11,26399993;0,68050170;∞
11,30495993;0,68050170;∞
11,34591993;0,68050170;∞
11,38687993;0,66212960;∞
11,42783993;0,66212960;∞
11,46879993;0,66212960;∞
11,50975993;0,66212960;∞
11,55071993;0,66212960;∞
11,59167993;0,66212960;48,65413000
11,63263993;0,66212960;44,09467000
11,67359993;0,66212960;41,35868000
11,71455993;0,64375750;37,71172000
11,75551993;0,64375750;35,43199000
11,79647993;0,64375750;32,69753000
11,83743993;0,62532420;27,22709000
11,87839993;0,62532420;25,40361000
11,91935993;0,62532420;22,66762000
11,96031993;0,62532420;17,65191000
12,00127993;0,62532420;14,00494000
12,04223993;0,62532420;10,81423000
12,08319993;0,60695210;7,62352400
12,12415993;0,60695210;2,60780700
12,16511993;0,60695210;-0,12665180
12,20607993;0,58851890;-2,86263600
12,24703993;0,58851890;-8,78780500
12,28799993;0,58851890;-12,89102000
12,32895993;0,57014680;-16,53798000
12,36991992;0,55177460;-21,09744000
12,41087992;0,55177460;-24,74441000
12,45183992;0,51496930;-27,47886000
12,49279992;-0,03686636;-30,21485000
12,53375992;0,18384350;-30,21485000
12,57471992;0,25739310;-31,58208000
12,61567992;0,16547140;-31,12583000
12,65663992;0,07354961;-28,39137000
12,69759992;0,03674429;-29,75860000
12,73855992;0,01831111;-27,47886000
12,77951992;-0,00006104;-29,30235000
12,82047992;-0,03686636;-28,39137000
12,86143992;-0,07367168;-29,75860000
12,90239992;-0,09204382;-27,47886000
12,94335992;-0,11041600;-31,58208000
12,98431992;-0,14722130;-29,75860000
13,02527992;-0,18402660;-30,21485000
13,06623992;-0,20239870;-28,39137000
13,10719992;-0,22083190;-27,47886000
13,14815992;-0,25757620;-29,75860000
13,18911992;-0,29438150;-27,93512000
13,23007992;-0,31281470;-29,30235000
13,27103992;-0,34955900;-28,39137000
13,31199992;-0,36799220;-33,86181000
13,35295992;-0,40479750;-31,12583000
13,39391992;-0,42316960;-28,39137000
13,43487992;-0,45997500;-27,93512000
13,47583992;-0,47834710;-29,30235000
13,51679992;-0,51515250;-29,30235000
13,55775992;-0,55195780;-27,47886000
13,59871992;-0,55195780;-27,93512000
13,63967992;-0,60713520;-27,47886000
13,68063992;-0,60713520;-27,47886000
13,72159992;-0,62550740;-26,56789000
13,76255992;-0,64394060;-28,39137000
13,80351992;-0,66231270;-28,39137000
13,84447992;-0,69911800;-29,30235000
13,88543992;-0,71749010;-31,12583000
13,92639992;-0,73592330;-29,75860000
13,96735992;-0,75429550;-29,30235000
14,00831991;-0,77266760;-29,75860000
14,04927991;-0,79110080;-24,74441000
14,09023991;-0,80947290;-29,30235000
14,13119991;-0,82790610;-27,47886000
14,17215991;-0,84627830;-27,93512000
14,21311991;-0,84627830;-28,84762000
14,25407991;-0,86465040;-29,30235000
14,29503991;-0,88308360;-29,30235000
14,33599991;-0,90145580;-29,30235000
14,37695991;-0,91988890;-27,93512000
14,41791991;-0,91988890;-27,93512000
14,45887991;-0,93826100;-27,47886000
14,49983991;-0,95663320;-27,47886000
14,54079991;-0,95663320;-27,02414000
14,58175991;-0,95663320;-28,39137000
14,62271991;-0,97506640;-29,30235000
14,66367991;-0,99343850;-27,02414000
14,70463991;-0,99343850;-29,75860000
14,74559991;-1,01187200;-27,93512000
14,78655991;-1,01187200;-27,02414000
14,82751991;-1,01187200;-29,30235000
14,86847991;-1,01187200;-27,93512000
14,90943991;-1,01187200;-27,47886000
14,95039991;-1,03024400;-28,39137000
14,99135991;-1,03024400;-29,30235000
15,03231991;-1,03024400;-26,11164000
15,07327991;-1,03024400;-28,39137000
15,11423991;-1,03024400;-29,30235000
15,15519991;-1,01187200;-28,39137000
15,19615991;-1,03024400;-27,47886000
15,23711991;-1,01187200;-27,93512000
15,27807991;-1,01187200;-26,56789000
15,31903991;-1,01187200;-27,47886000
15,35999991;-1,01187200;-29,30235000
15,40095991;-0,99343850;-29,30235000
15,44191991;-0,99343850;-27,93512000
15,48287991;-0,99343850;-27,47886000
15,52383991;-0,97506640;-32,03833000
15,56479991;-0,95663320;-29,75860000
15,60575991;-0,95663320;-26,11164000
15,64671990;-0,95663320;-30,21485000
15,68767990;-0,93826100;-28,39137000
15,72863990;-0,91988890;-29,75860000
15,76959990;-0,91988890;-26,11164000
15,81055990;-0,90145580;-28,39137000
15,85151990;-0,88308360;-29,30235000
15,89247990;-0,88308360;-28,84762000
15,93343990;-0,84627830;-27,93512000
15,97439990;-0,84627830;-27,47886000
16,01535990;-0,82790610;-27,47886000
16,05631990;-0,80947290;-28,84762000
16,09727990;-0,79110080;-28,39137000
16,13823990;-0,77266760;-27,02414000
16,17919990;-0,75429550;-28,84762000
16,22015990;-0,73592330;-30,21485000
16,26111990;-0,71749010;-29,30235000
16,30207990;-0,69911800;-28,39137000
16,34303990;-0,66231270;-27,02414000
16,38399990;-0,66231270;-26,11164000
16,42495990;-0,62550740;-27,02414000
16,46591990;-0,62550740;-27,47886000
16,50687990;-0,58876310;-27,93512000
16,54783990;-0,57032990;-25,65539000
16,58879990;-0,53352460;-31,12583000
16,62975990;-0,51515250;-30,67110000
16,67071990;-0,47834710;-26,11164000
16,71167990;-0,45997500;-28,39137000
16,75263990;-0,42316960;-27,93512000
16,79359990;-0,40479750;-29,30235000
16,83455990;-0,36799220;-30,21485000
16,87551990;-0,34955900;-27,02414000
16,91647990;-0,33118690;-25,65539000
16,95743990;-0,29438150;-27,47886000
16,99839990;-0,27600940;-27,47886000
17,03935990;-0,23920410;-27,47886000
17,08031990;-0,22083190;-27,47886000
17,12127990;-0,18402660;-27,47886000
17,16223990;-0,14722130;-27,93512000
17,20319990;-0,12884910;-25,65539000
17,24415990;-0,11041600;-28,39137000
17,28511989;-0,07367168;-26,56789000
17,32607989;-0,03686636;-28,39137000
17,36703989;-0,01843318;-27,02414000
17,40799989;0,03674429;-25,65539000
17,44895989;0,03674429;-30,67110000
17,48991989;0,09192175;-26,56789000
17,53087989;0,11029390;-27,47886000
17,57183989;0,14709920;-27,47886000
17,61279989;0,16547140;-27,93512000
17,65375989;0,18384350;-27,93512000
17,69471989;0,22064880;-24,74441000
17,73567989;0,25739310;-25,65539000
17,77663989;0,29419840;-27,47886000
17,81759989;0,33100380;-27,47886000
17,85855989;0,36780910;-28,84762000
17,89951989;0,38618120;-27,47886000
17,94047989;0,40461440;-29,30235000
17,98143989;0,42298650;-27,93512000
18,02239989;0,45979190;-29,30235000
18,06335989;0,47816400;-27,47886000
18,10431989;0,49659720;-27,02414000
18,14527989;0,51496930;-27,02414000
18,18623989;0,53334150;-27,47886000
18,22719989;0,53334150;-25,65539000
18,26815989;0,55177460;-24,74441000
18,30911989;0,55177460;-24,74441000
18,35007989;0,57014680;-22,92093000
18,39103989;0,57014680;-20,64119000
18,43199989;0,57014680;-19,72869000
18,47295989;0,58851890;-18,36146000
18,51391989;0,58851890;-16,99423000
18,55487989;0,60695210;-13,80200000
18,59583989;0,60695210;-11,97851000
18,63679989;0,60695210;-11,52379000
18,67775989;0,62532420;-8,33155300
18,71871989;0,62532420;-6,50807200
18,75967989;0,62532420;-1,95013300
18,80063989;0,62532420;-0,12665180
18,84159989;0,62532420;-0,58290350
18,88255989;0,62532420;3,97656200
18,92351988;0,62532420;7,16727200
18,96447988;0,62532420;8,99075300
19,00543988;0,62532420;11,72674000
19,04639988;0,64375750;14,46119000
19,08735988;0,64375750;18,56441000
19,12831988;0,64375750;19,02066000
19,16927988;0,66212960;22,66762000
19,21023988;0,66212960;25,40361000
19,25119988;0,66212960;27,22709000
19,29215988;0,66212960;30,87405000
